Name                                                  Type       File
Address                                               Extension  extensions\Address.fsh
AgeDays                                               Extension  extensions\AgeDays.fsh
AgeMonths                                             Extension  extensions\AgeMonths.fsh
AgeYears                                              Extension  extensions\AgeYears.fsh
AppointmentStatusValueSet                             ValueSet   valuesets\AppointmentStatusValueSet.fsh
ClinicalStatusValueSet                                ValueSet   valuesets\ClinicalStatusValueSet.fsh
ConditionBodySiteValueSet                             ValueSet   valuesets\ConditionBodySiteValueSet.fsh
ConditionCategoryValueSet                             ValueSet   valuesets\ConditionCategoryValueSet.fsh
ConditionCodeValueSet                                 ValueSet   valuesets\ConditionCodeValueSet.fsh
ConditionSeverityValueSet                             ValueSet   valuesets\ConditionSeverityValueSet.fsh
ConditionVerificationStatusValueSet                   ValueSet   valuesets\ConditionVerificationStatusValueSet.fsh
ContactName                                           Extension  extensions\ContactName.fsh
ContactRelationshipValueSet                           ValueSet   valuesets\ContactRelationshipValueSet.fsh
Cost                                                  Extension  extensions\Cost.fsh
DateInterview                                         Extension  extensions\DateInterview.fsh
DateInvestigation                                     Extension  extensions\DateInvestigation.fsh
DateUpdated                                           Extension  extensions\DateUpdated.fsh
DiagnosticReportCode                                  ValueSet   valuesets\DiagnosticReportCode.fsh
DosageInstruction                                     Extension  extensions\DosageInstruction.fsh
EncounterHospitalizationDischargeDispositionValueSet  ValueSet   valuesets\EncounterHospitalizationDischargeDispositionValueSet.fsh
EncounterLocationPhysicalTypeValueSet                 ValueSet   valuesets\EncounterLocationPhysicalTypeValueSet.fsh
EncounterServiceTypeValueSet                          ValueSet   valuesets\EncounterServiceTypeValueSet.fsh
EncounterStatusValueSet                               Profile    profiles\EncounterStatusValueSet.fsh
EncounterTypeValueSet                                 ValueSet   valuesets\EncounterTypeValueSet.fsh
ExtCost                                               Extension  extensions\ExtCost.fsh
ExtEncounter                                          Extension  extensions\ExtEncounter.fsh
Ext_Organization                                      Extension  extensions\Ext_Organization.fsh
FatherName                                            Extension  extensions\FatherName.fsh
HeadName                                              Extension  extensions\HeadName.fsh
HeadPosition                                          Extension  extensions\HeadPosition.fsh
IllnessClass                                          Extension  extensions\IllnessClass.fsh
Illness_Class                                         Extension  extensions\Illness_Class.fsh
ImmunizationReportOrigin                              ValueSet   valuesets\ImmunizationReportOrigin.fsh
ImmunizationRoute                                     ValueSet   valuesets\ImmunizationRoute.fsh
ImmunizationStatus                                    ValueSet   valuesets\ImmunizationStatus.fsh
ImmunizationStatusReason                              ValueSet   valuesets\ImmunizationStatusReason.fsh
ImmunizationVaccineCode                               ValueSet   valuesets\ImmunizationVaccineCode.fsh
IndigeneousGroup                                      Extension  extensions\IndigeneousGroup.fsh
IndigeneousPeople                                     Extension  extensions\IndigeneousPeople.fsh
IndigenousGroupValueSet                               ValueSet   valuesets\IndigenousGroupValueSet.fsh
IndigenousPeople                                      Extension  extensions\IndigenousPeople.fsh
Interviewer                                           Extension  extensions\Interviewer.fsh
InvestigatorName                                      Extension  extensions\InvestigatorName.fsh
MaritalStatusValueSet                                 ValueSet   valuesets\MaritalStatusValueSet.fsh
MaritalStatusValueSet                                 Profile    profiles\MaritalStatusValueSet.fsh
MedicalAdministrationStatus                           ValueSet   valuesets\MedicalAdministrationStatus.fsh
MiddleName                                            Extension  extensions\MiddleName.fsh
MotherName                                            Extension  extensions\MotherName.fsh
MyCodeSystem                                          Profile    profiles\MyCodeSystem.fsh
MyEncounter                                           Profile    profiles\MyEncounter.fsh
MyExtension                                           Extension  extensions\MyExtension.fsh
MyPatient                                             Profile    profiles\MyPatient.fsh
NationalityValueSet                                   Profile    profiles\NationalityValueSet.fsh
ObservationMethod                                     ValueSet   valuesets\ObservationMethod.fsh
ObservationValue                                      ValueSet   valuesets\ObservationValue.fsh
Occupation                                            Extension  extensions\Occupation.fsh
Organization                                          Extension  extensions\Organization.fsh
OrganizationTypeValueSet                              ValueSet   valuesets\OrganizationTypeValueSet.fsh
PH_AllergyIntolerance                                 Profile    profiles\PH_AllergyIntolerance.fsh
PH_Appointment                                        Profile    profiles\PH_Appointment.fsh
PH_CarePlan                                           Profile    profiles\PH_CarePlan.fsh
PH_Condition                                          Profile    profiles\PH_Condition.fsh
PH_DiagnosticReport                                   Profile    profiles\PH_DiagnosticReport.fsh
PH_Encounter                                          Profile    profiles\PH_Encounter.fsh
PH_FamilyMemberHistory                                Profile    profiles\PH_FamilyMemberHistory.fsh
PH_Immunization                                       Profile    profiles\PH_Immunization.fsh
PH_Location                                           Profile    profiles\PH_Location.fsh
PH_Medication                                         Profile    profiles\PH_Medication.fsh
PH_MedicationAdministration                           Profile    profiles\PH_MedicationAdministration.fsh
PH_MedicationDispense                                 Profile    profiles\PH_MedicationDispense.fsh
PH_MedicationStatement                                Profile    profiles\PH_MedicationStatement.fsh
PH_Observation                                        Profile    profiles\PH_Observation.fsh
PH_Organization                                       Profile    profiles\PH_Organization.fsh
PH_Patient                                            Profile    profiles\PH_Patient.fsh
PH_Period                                             Profile    profiles\PH_Period.fsh
PH_Person                                             Profile    profiles\PH_Person.fsh
PH_Practitioner                                       Profile    profiles\PH_Practitioner.fsh
PH_PractitionerRole                                   Profile    profiles\PH_PractitionerRole.fsh
PH_Procedure                                          Profile    profiles\PH_Procedure.fsh
PH_QuestionnaireResponse                              Profile    profiles\PH_QuestionnaireResponse.fsh
PH_ServiceRequest                                     Profile    profiles\PH_ServiceRequest.fsh
PH_Specimen                                           Profile    profiles\PH_Specimen.fsh
PSGC                                                  Extension  extensions\PSGC.fsh
Packaging                                             Extension  extensions\Packaging.fsh
PatientClassification                                 Extension  extensions\PatientClassification.fsh
PractitionerRoleValueSet                              ValueSet   valuesets\PractitionerRoleValueSet.fsh
ProcedureBodySiteValueSet                             ValueSet   valuesets\ProcedureBodySiteValueSet.fsh
ProcedureCodeValueSet                                 ValueSet   valuesets\ProcedureCodeValueSet.fsh
ProcedureStatusValueSet                               ValueSet   valuesets\ProcedureStatusValueSet.fsh
RecordedDate                                          Extension  extensions\RecordedDate.fsh
Region                                                Extension  extensions\Region.fsh
ReleaseDate                                           Extension  extensions\ReleaseDate.fsh
ReporterName                                          Extension  extensions\ReporterName.fsh
ResultDate                                            Extension  extensions\ResultDate.fsh
SamplePatient                                         Profile    profiles\SamplePatient.fsh
Sex                                                   Extension  extensions\Sex.fsh
SexValueSet                                           ValueSet   valuesets\SexValueSet.fsh
SexValueSet                                           Profile    profiles\SexValueSet.fsh
Sibling                                               Extension  extensions\Sibling.fsh
Signature                                             Extension  extensions\Signature.fsh
Species                                               Extension  extensions\Species.fsh
SpecimenCollectionMethod                              ValueSet   valuesets\SpecimenCollectionMethod.fsh
SpecimenCondition                                     ValueSet   valuesets\SpecimenCondition.fsh
SpecimenProcessingProcedure                           ValueSet   valuesets\SpecimenProcessingProcedure.fsh
SpecimenType                                          ValueSet   valuesets\SpecimenType.fsh
SpouseName                                            Extension  extensions\SpouseName.fsh
calculatedValue-copy                                  Extension  extensions\calculatedValue-copy.fsh
